id,posStat1,posStat2
4430703,"[15.0, 16.0, 16.0, 16.0, 16.0, 16.0, 22.0, 22.0, 32.0, 32.0, 32.0, 32.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4430901,"[5.0, 6.0, 6.0, 6.0, 8.0, 9.0, 9.0, 12.0, 13.0, 14.0, 14.0, 17.0, 22.0]","[7.0, 16.0, 16.0, 19.0, 21.0, 25.0, 25.0, 32.0, 34.0, 39.0, 45.0, 51.0, 62.0]"
4430905,"[28.0, 96.0, 110.0, 110.0, 110.0, 150.0, 150.0, 219.0, 260.0, 341.0, 352.0, 356.0, 383.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4430909,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
4431131,[],[]
4431306,"[1.0, 2.0, 5.0, 6.0, 11.0, 11.0, 11.0, 13.0, 17.0, 18.0, 25.0, 26.0, 29.0]","[3.0, 6.0, 10.0, 15.0, 20.0, 23.0, 23.0, 30.0, 36.0, 38.0, 48.0, 51.0, 55.0]"
4431316,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 4.0]"
4431339,"[92.0, 96.0, 96.0, 96.0, 111.0, 111.0, 111.0, 111.0, 111.0, 111.0, 238.0, 340.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4431431,"[59.0, 98.0, 130.0, 147.0, 253.0, 253.0, 253.0, 296.0, 296.0, 298.0, 315.0, 351.0, 351.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]"
4431461,"[32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4431495,"[1.0, 3.0, 5.0, 7.0, 7.0, 7.0, 8.0, 13.0, 14.0, 14.0, 14.0, 14.0]","[6.0, 9.0, 13.0, 16.0, 17.0, 17.0, 19.0, 24.0, 26.0, 27.0, 28.0, 28.0]"
4432316,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 5.0, 6.0]"
4433823,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4433935,[],[]
4559656,[],[]
4565292,[],"[0.0, 0.0, 0.0]"
4565908,"[77.0, 119.0, 238.0, 423.0, 500.0, 500.0, 500.0, 500.0, 547.0, 686.0, 826.0, 888.0, 899.0]","[0.0, 1.0, 2.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 8.0, 9.0, 9.0, 9.0]"
4569308,[],"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4569309,[],[]
4569312,[],[]
4569313,[],[]
4569315,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4569316,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 6.0, 8.0, 9.0, 9.0, 9.0, 9.0]"
4569321,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4569322,"[1.0, 1.0, 1.0, 5.0, 5.0, 5.0, 5.0, 5.0, 6.0, 8.0, 10.0, 12.0, 14.0]","[4.0, 5.0, 7.0, 12.0, 13.0, 17.0, 17.0, 18.0, 19.0, 26.0, 30.0, 32.0, 35.0]"
4571942,[],[]
4575844,[],[]
4578233,"[0.333, 0.333, 0.5, 0.6, 0.571, 0.571, 0.571, 0.692, 0.733, 0.765, 0.789, 0.818, 0.826]","[6.0, 15.0, 23.0, 32.0, 39.0, 43.0, 43.0, 60.0, 67.0, 75.0, 84.0, 95.0, 101.0]"
4585283,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4586334,"[5.0, 6.0, 8.0, 15.0, 19.0, 19.0, 19.0, 20.0, 27.0, 27.0, 31.0, 31.0, 34.0]","[6.0, 7.0, 12.0, 21.0, 28.0, 28.0, 28.0, 31.0, 39.0, 39.0, 45.0, 46.0, 53.0]"
4590294,[],[]
4594205,"[0.0, 3.0, 5.0, 7.0, 8.0, 10.0, 10.0, 12.0, 13.0, 15.0, 17.0, 19.0, 19.0]","[2.0, 8.0, 11.0, 15.0, 19.0, 22.0, 22.0, 26.0, 27.0, 38.0, 41.0, 44.0, 44.0]"
4594445,[],[]
4603088,[],[]
4612850,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
4676889,"[4.0, 108.0, 112.0, 112.0, 112.0, 112.0, 112.0, 112.0, 112.0, 112.0, 112.0, 112.0, 112.0]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4682639,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
4683014,"[2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 5.0, 9.0, 9.0, 9.0, 13.0, 13.0]","[3.0, 3.0, 3.0, 4.0, 5.0, 5.0, 7.0, 11.0, 11.0, 11.0, 15.0, 15.0]"
